Question,Options
I found myself getting upset by quite trivial things,0 1 2 3
I was aware of dryness of my mouth,0 1 2 3
I couldn't seem to experience any positive feeling at all,0 1 2 3
"I experienced breathing difficulty (eg, excessively rapid breathing, breathlessness in the absence of physical exertion)",0 1 2 3
I just couldn't seem to get going,0 1 2 3
I tended to over-react to situations,0 1 2 3
"I had a feeling of shakiness (eg, legs going to give way)",0 1 2 3
I found it difficult to relax,0 1 2 3
I found myself in situations that made me so anxious I was most relieved when they ended,0 1 2 3
I felt that I had nothing to look forward to,0 1 2 3
I found myself getting upset rather easily,0 1 2 3
I felt that I was using a lot of nervous energy,0 1 2 3
I felt sad and depressed,0 1 2 3
"I found myself getting impatient when I was delayed in any way (eg, elevators, traffic lights, being kept waiting)",0 1 2 3
I had a feeling of faintness,0 1 2 3
I felt that I had lost interest in just about everything,0 1 2 3
I felt I wasn't worth much as a person,0 1 2 3
I felt that I was rather touchy,0 1 2 3
"I perspired noticeably (eg, hands sweaty) in the absence of high temperatures or physical exertion",0 1 2 3
I felt scared without any good reason,0 1 2 3
I felt that life wasn't worthwhile,0 1 2 3
I found it hard to wind down,0 1 2 3
I had difficulty in swallowing,0 1 2 3
I couldn't seem to get any enjoyment out of the things I did,0 1 2 3
"I was aware of the action of my heart in the absence of physical exertion (eg, sense of heart rate increase, heart missing a beat)",0 1 2 3
I felt down-hearted and blue,0 1 2 3
I found that I was very irritable,0 1 2 3
I felt I was close to panic,0 1 2 3
I found it hard to calm down after something upset me,0 1 2 3
I feared that I would be 'thrown' by some trivial but unfamiliar task,0 1 2 3
I was unable to become enthusiastic about anything,0 1 2 3
I found it difficult to tolerate interruptions to what I was doing,0 1 2 3
I was in a state of nervous tension,0 1 2 3
I felt I was pretty worthless,0 1 2 3
I was intolerant of anything that kept me from getting on with what I was doing,0 1 2 3
I felt terrified,0 1 2 3
I could see nothing in the future to be hopeful about,0 1 2 3
I felt that life was meaningless,0 1 2 3
I found myself getting agitated,0 1 2 3
I was worried about situations in which I might panic and make a fool of myself,0 1 2 3
"I experienced trembling (eg, in the hands)",0 1 2 3
I found it difficult to work up the initiative to do things,0 1 2 3
